"ID","answered_all","Duration..in.seconds.","RecordedDate","UserLanguage","Dem_age","Dem_gender","Dem_edu","Dem_edu_mom","Dem_employment","Country","Dem_Expat","Dem_state","Dem_maritalstatus","Dem_dependents","Dem_riskgroup","Dem_isolation","Dem_isolation_adults","Dem_isolation_kids","AD_gain","AD_loss","AD_check","Scale_PSS10_UCLA_1","Scale_PSS10_UCLA_2","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_4","Scale_PSS10_UCLA_5","Scale_PSS10_UCLA_6","Scale_PSS10_UCLA_7","Scale_PSS10_UCLA_8","Scale_PSS10_UCLA_9","Scale_PSS10_UCLA_10","Scale_SLON_1","Scale_SLON_2","Scale_SLON_3","OECD_people_1","OECD_people_2","OECD_insititutions_1","OECD_insititutions_2","OECD_insititutions_3","OECD_insititutions_4","OECD_insititutions_5","OECD_insititutions_6","Corona_concerns_1","Corona_concerns_2","Corona_concerns_3","Corona_concerns_4","Corona_concerns_5","Trust_countrymeasure","Compliance_1","Compliance_2","Compliance_3","Compliance_4","Compliance_5","Compliance_6","born_92","experience_war","experience_war_TXT","war_injury","loss_during_war","time_spent_in_war","time_spent_in_war_TXT","Scale_UCLA_TRI_1","Scale_UCLA_TRI_2","Scale_UCLA_TRI_3","Scale_UCLA_TRI_4","PS_PTSD_1","PS_PTSD_2","PS_PTSD_3","PS_PTSD_4","PS_PTSD_5","BFF_15_1","BFF_15_2","BFF_15_3","BFF_15_4","BFF_15_5","BFF_15_6","BFF_15_7","BFF_15_8","BFF_15_9","BFF_15_10","BFF_15_11","BFF_15_12","BFF_15_13","BFF_15_14","BFF_15_15","Expl_Distress_1","Expl_Distress_2","Expl_Distress_3","Expl_Distress_4","Expl_Distress_5","Expl_Distress_6","Expl_Distress_7","Expl_Distress_8","Expl_Distress_9","Expl_Distress_10","Expl_Distress_11","Expl_Distress_12","Expl_Distress_13","Expl_Distress_14","Expl_Distress_15","Expl_Distress_16","Expl_Distress_17","Expl_Distress_18","Expl_Distress_19","Expl_Distress_20","Expl_Distress_21","Expl_Distress_22","Expl_Distress_23","Expl_Distress_24","Expl_Distress_txt","SPS_1","SPS_2","SPS_3","SPS_4","SPS_5","SPS_6","SPS_7","SPS_8","SPS_9","SPS_10","Expl_Coping_1","Expl_Coping_2","Expl_Coping_3","Expl_Coping_4","Expl_Coping_5","Expl_Coping_6","Expl_Coping_7","Expl_Coping_8","Expl_Coping_9","Expl_Coping_10","Expl_Coping_11","Expl_Coping_12","Expl_Coping_13","Expl_Coping_14","Expl_Coping_15","Expl_Coping_16","Expl_coping_txt","Expl_media_1","Expl_media_2","Expl_media_3","Expl_media_4","Expl_media_5","Expl_media_6","Final_open","PSS10_avg","SLON3_avg","neu","ext","ope","agr","con","SPS_avg","Scale_UCLA_TRI_avg"
"125165","No","120","2020-03-27 12:26:32","DA","47","Female","Some College, short continuing education or equivalent","Some College or equivalent","Part time employed","Denmark","yes","Hillerod","Married/cohabiting","3","Yes","Life carries on with minor changes","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125166","No","2335","2020-03-26 13:03:00","DA","53","Female","Up to 12 years of school","Up to 12 years of school","Full time employed","Denmark","yes","Glostrup","Married/cohabiting","0","NA","Life carries on with minor changes","0","0","NA","NA","NA","4","4","3","3","3","4","3","3","4","3","3","1","5","5","7","7","9","7","5","9","6","3","3","3","3","3","5","6","5","5","2","3","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","5","4","5","4","6","4","2","1","2","6","5","3","5","99","4","99","3","3","6","2","5","5","NA","5","5","6","NA","4","4","2","5","5","4","4","4","5","3","NA","5","NA","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","5","NA","NA","5","NA","NA","NA","NA","Bange for selv at blive syg og de mennesker jeg holder af udtryk ved hvordan det udvikler sig og hvad der kommer til at ske i fremtiden .har selv mistet mit arb.","3.4","3","3.333333","4","4","4.666667","4.666667","5","NA"
"125167","Yes","3564","2020-03-26 13:23:27","DA","34","Male","Up to 12 years of school","Up to 9 years of school","Full time employed","Denmark","yes","7000","Married/cohabiting","3","Yes","Life carries on with minor changes","1","3","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","1","1","3","5","4","2","5","4","1","1","1","1","1","7","8","7","10","8","10","9","9","1","2","4","6","6","5","5","5","5","5","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","5","5","4","5","6","5","4","5","5","5","2","5","2","2","2","2","4","2","1","2","2","5","3","5","5","4","2","2","1","2","2","5","2","2","4","2","NA","6","4","6","6","6","5","6","6","5","6","5","4","5","5","5","5","1","1","5","4","2","5","4","6","2","4","NA","5","4","6","4","5","5","NA","1.5","1","2","4.333333","5.333333","4.333333","5","5.6","NA"
"125168","No","1251","2020-03-26 12:44:48","DA","58","Female","Up to 9 years of school","Up to 9 years of school","Full time employed","Denmark","yes","Kobenhavn","Married/cohabiting","2","NA","Life carries on with minor changes","NA","NA","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","Yes","1","4","3","4","4","3","4","4","2","2","1","1","1","4","8","5","7","5","6","6","8","5","5","4","6","6","3","6","5","5","3","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","3","4","5","6","4","5","2","3","4","5","1","5","99","1","99","99","1","1","1","99","99","4","4","4","4","4","1","1","1","2","1","4","1","1","4","1","NA","5","4","4","5","5","4","5","5","3","5","5","4","5","6","3","5","1","1","1","6","4","5","6","1","1","5","NA","4","5","5","3","4","4","NA","2.3","1","2","3","5","4","5.333333","4.5","NA"
"125169","No","1137","2020-03-26 12:42:10","DA","59","Female","College degree, bachelor, master","Up to 12 years of school","Full time employed","Denmark","yes","GRIBSKOV","Single","0","NA","Life carries on with minor changes","0","0","� If Program A is adopted, 200 people will be saved.","NA","Yes","1","2","1","5","4","1","4","5","3","1","2","1","2","7","8","6","8","8","8","7","7","2","3","3","3","3","4","5","5","5","2","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","4","4","3","5","5","5","3","4","4","4","3","5","2","2","2","2","2","3","1","99","99","2","2","3","3","2","3","2","2","2","2","2","2","2","2","2","NA","5","5","4","5","4","5","5","5","5","5","4","4","2","2","4","4","2","2","4","3","2","5","4","4","1","5","NA","4","4","2","2","4","4","Jeg tror maske at jeg selv har haft covid, mild udgave.","1.5","1.666667","2","4","5","4","4.333333","4.8","NA"
"125170","No","1041","2020-03-26 12:40:03","DA","37","Female","College degree, bachelor, master","Some College or equivalent","Full time employed","Denmark","yes","Albertslund","Married/cohabiting","2","NA","Life carries on with minor changes","1","2","NA","� If Program C is adopted 400 people will die.","No","1","2","3","5","2","4","3","4","2","1","2","1","3","7","9","6","6","7","7","6","7","2","4","4","2","6","5","6","5","4","3","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","5","4","4","3","5","6","6","3","6","6","6","2","5","3","6","4","4","99","4","1","2","4","4","2","2","3","4","4","4","2","3","4","3","2","2","3","4","Balancere fuldtidsarbejde og to sma born i huset.","5","6","4","6","5","6","6","6","4","6","4","4","4","4","6","4","1","2","6","3","3","4","4","3","1","5","NA","4","6","6","3","6","5","NA","2.3","2","3.333333","4","5.666667","5.333333","5.333333","5.4","NA"
"125171","No","500","2020-03-27 12:31:44","DA","36","Female","College degree, bachelor, master","College degree","Self-employed","Denmark","yes","Aalborg","Married/cohabiting","3","NA","Isolated","1","3","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","4","4","4","1","2","5","2","3","4","3","4","2","5","6","9","5","5","5","8","8","7","6","6","6","5","5","5","6","6","6","2","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","3","6","6","5","2","5","5","6","4","5","5","5","4","6","6","5","5","6","5","2","1","6","6","6","1","6","6","6","5","5","1","5","6","3","1","1","3","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","3.666667","3","5.333333","5.333333","4.333333","4.666667","NA","NA"
"125172","No","1532","2020-03-26 12:47:49","DA","35","Female","Some College, short continuing education or equivalent","Up to 9 years of school","Not employed","Denmark","yes","Randers","Married/cohabiting","0","NA","Life carries on with minor changes","2","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","Not sure","1","2","3","4","2","1","3","3","3","1","3","1","4","7","10","9","9","9","9","8","9","4","6","4","5","6","5","6","6","6","4","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","3","2","3","3","4","5","6","2","5","6","6","5","4","4","99","99","6","99","5","99","2","99","5","5","4","5","6","99","2","2","4","5","4","1","1","5","1","NA","6","6","5","6","6","4","6","6","5","6","5","2","5","2","5","5","4","1","5","4","3","5","1","5","1","5","NA","5","2","4","2","2","3","Min situation som kontanthjalmodtager og kampen for at komme i arbejde er blevet mere frustrerende","2.3","2.666667","4","3","5","5.333333","4","5.6","NA"
"125173","No","941","2020-03-26 12:37:11","DA","18","Female","Up to 12 years of school","Up to 12 years of school","Student","Denmark","yes","Norddjurs","Single","2","NA","Life carries on with minor changes","2","0","� If Program A is adopted, 200 people will be saved.","NA","No","1","2","3","4","3","3","3","4","4","1","4","1","5","8","8","9","8","10","10","10","10","1","3","2","4","6","5","6","4","3","6","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","2","5","6","4","3","6","6","6","3","4","6","5","2","4","1","5","2","2","5","6","1","4","1","6","4","3","2","5","6","5","5","4","6","2","3","1","5","5","NA","6","2","5","6","5","6","6","6","6","6","4","6","6","6","6","2","4","5","4","4","1","3","6","6","1","5","NA","6","2","5","3","1","5","NA","2.4","3.333333","2.666667","4.666667","6","4.666667","4.666667","5.4","NA"
"125174","No","1017","2020-03-27 12:38:29","DA","32","Male","College degree, bachelor, master","Up to 12 years of school","Part time employed","Denmark","yes","NA","Married/cohabiting","1","NA","Isolated","1","1","� If Program A is adopted, 200 people will be saved.","NA","Not sure","2","3","3","4","4","3","5","4","2","2","1","1","3","8","10","7","8","7","10","9","9","1","5","3","5","2","5","6","5","5","3","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","5","6","2","3","6","4","4","5","1","6","4","5","3","4","5","6","2","6","1","1","1","2","4","5","3","6","5","5","6","1","3","1","2","2","1","1","6","1","NA","6","5","5","6","5","5","5","6","4","6","4","6","2","2","1","4","4","5","4","4","2","4","3","4","1","4","NA","6","2","4","3","2","2","NA","2.2","1.666667","3.666667","2","4.333333","5.333333","4.333333","5.3","NA"
"125175","Yes","3761","2020-03-26 13:24:03","DA","29","Female","Some College, short continuing education or equivalent","Up to 12 years of school","Not employed","Denmark","yes","Nyborg","Other or would rather not say","0","No","Life carries on with minor changes","0","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","2","5","3","2","2","1","4","3","4","3","1","1","3","4","9","6","10","6","7","10","8","4","4","4","6","6","4","6","6","6","1","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","5","1","3","5","4","5","4","4","1","5","5","4","5","1","99","99","6","2","5","99","99","99","5","1","4","4","3","99","1","1","1","1","1","2","1","6","6","NA","6","6","6","6","6","6","6","6","6","6","6","3","3","1","3","6","4","5","6","6","6","6","6","6","1","6","NA","6","4","1","1","5","1","Generelt er jeg blevet langt mere opmarksom pa bade min egen og andres menneskers farden i det offentlige rum. Fokus pa at holde afstand, men ogsa at der er et band, der pludseligt binder folk sammen. Folk hilser generelt meget mere, hvilket faktisk er rigtig rart og det hjalper til jeg ikke foler mig sa alene.","3.1","1.666667","3.666667","2","4.333333","3","4.333333","6","NA"
"125176","No","1069","2020-03-26 12:38:40","DA","42","Male","College degree, bachelor, master","Up to 12 years of school","Full time employed","Denmark","yes","Kobenhavn","Divorced/widowed","0","NA","Life carries on with minor changes","0","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","1","3","2","5","5","1","4","4","1","1","3","1","3","7","9","6","8","7","9","9","8","3","5","3","3","5","5","5","5","5","2","5","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","4","4","5","4","6","5","2","5","3","5","3","5","1","2","99","2","99","5","99","99","99","4","2","4","5","4","2","3","4","4","5","5","1","2","5","6","NA","4","3","4","4","4","5","3","4","5","4","5","5","5","4","2","3","4","1","4","3","3","5","4","4","1","5","NA","5","3","5","5","3","2","NA","1.5","2.333333","2","3.333333","5","4.333333","4.666667","4","NA"
"125177","Yes","1345","2020-03-26 12:40:58","EN","23","Male","College degree, bachelor, master","College degree","Student","Denmark","no","Midtjylland","Single","0","Yes","Isolated","0","0","NA","� If Program C is adopted 400 people will die.","No","1","3","2","4","3","1","1","3","2","1","1","1","1","6","7","8","10","10","9","10","9","2","3","2","5","5","5","6","5","5","2","4","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","4","2","1","6","5","4","4","4","5","4","4","5","5","1","3","99","1","2","1","1","99","99","5","2","2","4","3","3","1","1","1","3","4","99","99","3","1","NA","4","2","4","5","6","4","6","6","5","5","4","1","5","1","1","1","1","1","1","1","1","4","1","1","1","4","I find it ambiguous whether disagreement means something was simply not helpful i.e. non-effective or that something was directly harmful. I have answered under the assumption of the former.","6","1","1","1","1","3","NA","2.3","1","3","1.333333","4.333333","4","3.666667","4.7","NA"
"125178","No","199","2020-03-27 12:22:13","DA","30","Other/would rather not say","Up to 9 years of school","Some College or equivalent","Not employed","Denmark","yes","Kobenhavn","Other or would rather not say","1","Yes","Isolated","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125179","Yes","1376","2020-03-26 12:41:27","DA","44","Female","College degree, bachelor, master","Up to 9 years of school","Full time employed","Denmark","yes","Kobenhavn","Married/cohabiting","1","Not sure","Life carries on with minor changes","1","1","NA","� If Program C is adopted 400 people will die.","No","3","1","2","5","4","1","4","4","2","1","1","1","3","6","10","10","10","10","10","7","10","4","5","4","4","5","7","6","5","5","1","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","3","4","3","5","5","5","2","4","5","5","4","5","2","2","2","2","99","2","99","2","2","5","2","5","3","2","2","1","2","2","5","2","2","4","3","2","NA","6","5","5","6","6","5","6","5","5","6","5","5","5","5","4","4","1","1","5","4","4","4","4","3","1","5","NA","5","2","2","2","4","6","Mit arbejdsplads har varet gode og forstaende i denne tid. Min chef har sagt at arbejdet ikke ma medforer mere stress og at det var vigtigt at der ogsa var ro pa hjemmefronten, med hjemmeundervisning af vores born. Vi skulle lose vores opgaver sa godt vi kunne med de vilkar vi er i.","1.7","1.666667","2","3.666667","5","4.666667","4.333333","5.5","NA"
"125180","No","1071","2020-03-26 12:35:32","DA","30","Female","College degree, bachelor, master","Some College or equivalent","Full time employed","Denmark","yes","Frederiksberg","Married/cohabiting","1","NA","Isolated","1","1","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","Not sure","1","2","2","5","4","3","5","5","2","1","2","1","3","7","10","8","8","7","7","3","7","5","5","5","6","6","6","6","6","6","6","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","6","5","6","2","5","5","4","1","5","6","5","2","6","6","6","1","6","99","3","1","2","6","6","2","3","4","2","5","4","99","1","1","6","1","1","6","1","NA","6","1","6","6","6","6","6","6","6","6","6","5","6","1","5","1","1","1","4","2","5","5","5","4","1","6","NA","6","6","5","4","6","1","NA","1.6","2","3.333333","5.333333","4.666667","5.666667","5.333333","5.5","NA"
"125181","No","1582","2020-03-27 12:44:04","DA","25","Male","Some College, short continuing education or equivalent","Up to 12 years of school","Student","Denmark","yes","Odense","Single","0","Not sure","Life carries on with minor changes","0","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125182","No","1324","2020-03-26 12:38:37","DA","21","Female","Up to 12 years of school","Uninformative response","Student","Denmark","yes","Halsnas","Single","0","NA","Isolated","3","0","NA","NA","NA","3","4","4","2","2","4","2","1","2","4","3","1","4","9","10","9","10","10","9","9","10","2","4","4","5","5","5","5","5","6","1","5","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","1","1","4","4","2","2","4","3","5","5","5","2","3","99","5","99","99","99","4","NA","2","99","5","2","5","2","5","5","4","5","4","3","5","4","2","6","2","Hvad der sker og hvordan det bliver nar hverdagen skal tages op igen| det er ogsa en bekymring","4","NA","4","3","4","4","4","2","NA","4","5","4","5","NA","NA","4","1","2","2","2","2","3","4","4","2","3","NA","5","6","4","2","5","5","Man er isoleret fra omverdenen. Det synes jeg er svart, selvom jeg ikke er socialt anlagt. Synes ogsa det er svart at fortsatte livet sa normalt som muligt, nar en pandemi �raser� ude i verdenen og det er uklart hvad der vil ske med min uddannelse.","3.8","2.666667","6","2.666667","2.666667","4.666667","4.333333","3.625","NA"
"125183","No","1322","2020-03-26 12:38:16","DA","69","Female","Some College, short continuing education or equivalent","Up to 12 years of school","Retired","Denmark","yes","Kobenhavn","Single","0","NA","Isolated","NA","NA","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","2","3","2","4","4","2","4","3","1","2","3","2","3","9","9","8","10","9","9","7","10","3","4","3","3","5","5","5","5","5","3","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","5","4","5","2","4","5","3","4","5","4","5","2","3","2","2","2","1","2","2","2","2","1","4","4","5","5","5","2","3","4","2","2","2","4","2","3","2","NA","6","5","4","5","5","5","5","5","4","5","5","5","5","NA","5","5","2","2","4","5","4","5","NA","5","3","4","NA","4","4","2","3","4","4","NA","2.1","2.666667","1.333333","4.666667","4","4","4.333333","4.9","NA"
"125184","No","758","2020-03-26 12:27:06","DA","51","Male","Up to 9 years of school","Up to 6 years of school","Not employed","Denmark","yes","Haderslev","Single","0","NA","Life carries on with minor changes","0","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","Not sure","3","3","3","4","3","3","4","4","2","1","3","1","4","8","10","7","9","8","8","8","8","4","5","5","5","6","5","6","6","6","4","4","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","5","6","6","3","5","6","6","1","5","6","5","5","5","99","99","1","99","99","5","1","1","99","4","1","6","5","5","1","99","1","2","1","1","1","1","4","99","NA","6","6","6","6","6","6","6","6","6","6","5","6","6","5","6","6","5","5","6","4","5","6","5","4","4","5","NA","4","4","2","2","4","3","NA","2.4","2.666667","3.333333","5.333333","5.666667","5.666667","4","6","NA"
"125185","No","451","2020-03-27 12:22:27","DA","30","Female","Up to 12 years of school","Up to 9 years of school","Student","Denmark","yes","Morso","Married/cohabiting","1","NA","Isolated","1","0","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","Yes","5","4","5","5","3","5","4","2","4","3","4","3","4","2","6","6","6","6","7","7","8","6","6","6","6","6","3","5","6","6","5","2","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","4","5","4","5","5","5","5","2","1","5","4","6","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.6","3.666667","5","3.666667","5","3.666667","3.333333","NA","NA"
"125186","No","678","2020-03-26 12:25:31","DA","29","Female","College degree, bachelor, master","PhD/Doctorate","Full time employed","Denmark","yes","Kolding","Married/cohabiting","1","Yes","Isolated","1","1","� If Program A is adopted, 200 people will be saved.","NA","No","3","3","5","4","4","3","3","3","4","4","3","2","4","7","9","7","9","8","10","8","8","5","5","2","5","6","6","5","5","5","1","4","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","3","3","6","2","4","6","5","4","5","5","5","2","6","1","5","1","4","99","1","1","5","4","4","1","5","5","5","4","2","1","4","1","2","2","1","5","1","NA","6","5","6","6","6","6","NA","6","6","6","4","2","6","1","6","3","2","2","4","5","3","5","4","6","5","5","NA","4","6","3","6","5","4","NA","3.2","3","4.333333","4.666667","5","4.333333","5.333333","5.888889","NA"
"125187","No","1153","2020-03-26 12:33:09","DA","44","Female","College degree, bachelor, master","Some College or equivalent","NA","Denmark","yes","Kobenhavn","Married/cohabiting","2","NA","Life carries on with minor changes","NA","NA","� If Program A is adopted, 200 people will be saved.","NA","No","3","5","5","2","4","5","2","4","3","4","4","5","5","8","9","6","8","6","9","9","7","6","6","6","6","6","7","6","2","5","6","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","6","4","5","5","6","6","4","2","4","5","6","1","5","6","6","2","6","99","6","99","99","99","6","1","1","1","1","6","6","5","6","4","1","1","1","6","99","Politikernes indgreb i vores retssikkerhed bekymrer mig. Endnu ikke meget, men har dog min opmarksomhed.","6","6","6","6","6","4","6","6","3","6","3","5","6","1","4","3","1","1","4","2","1","4","1","4","4","3","Vardsatte det jeg har frem for at fokusere pa det jeg ikke har.","6","4","1","1","1","3","Vejen fra at vare ( tidligere) hardt ramt af stress til at blive rask og i arbejde, er blevet langere. Bade i forhold til at blive rask men ogsa i forhold til at fa arbejde.","3.7","4.666667","3.333333","3.666667","5.333333","4.666667","5.666667","5.5","NA"
"125188","No","495","2020-03-27 12:22:39","DA","53","Female","College degree, bachelor, master","Up to 9 years of school","Full time employed","Denmark","yes","Hillerod","Married/cohabiting","1","NA","Life carries on with minor changes","2","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"125189","Yes","1287","2020-03-26 12:34:22","DA","29","Male","Up to 12 years of school","Up to 12 years of school","Full time employed","Denmark","yes","Dragor","Married/cohabiting","1","Not sure","Isolated","2","1","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","4","5","4","4","4","5","2","2","4","2","1","2","5","6","8","2","3","1","3","8","1","5","5","1","3","2","10","5","4","3","6","3","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","4","5","5","5","6","4","5","5","3","3","5","3","6","4","5","5","5","99","4","1","3","4","6","5","1","3","1","1","3","1","2","5","2","3","1","6","4","NA","4","4","5","5","5","5","5","5","5","5","1","5","4","1","4","1","3","1","3","3","3","1","5","5","1","2","NA","2","4","2","2","1","2","Min retsfolelse, frihed og demokratiske folelse er blevet udfordret meget mere. Min tillid til magthavere er blevet markant mindre.","3.6","2.666667","2.666667","4","5","2.666667","5","4.8","NA"
"125190","No","644","2020-03-26 12:23:40","DA","67","Female","Some College, short continuing education or equivalent","None","Retired","Denmark","yes","Aalborg","Divorced/widowed","0","NA","Isolated","0","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","3","1","1","5","4","1","5","4","3","1","1","1","3","9","10","5","5","7","8","8","7","1","1","4","5","6","5","5","6","6","1","6","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","3","1","5","4","6","6","6","6","6","6","6","1","6","1","1","1","1","99","5","1","1","1","5","1","5","5","5","1","1","1","2","1","1","1","1","5","1","NA","6","6","6","6","6","6","6","6","4","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","1","6","6","1","6","NA","1.6","1.666667","2.5","3","6","4.333333","6","5.8","NA"
